Card #,Card Name,Rarity,Variant,PSA 1,PSA 2,PSA 3,PSA 4,PSA 5,PSA 6,PSA 7,PSA 8,PSA 9,PSA 10
52,Magcargo,Rare,Regular,,,,,,,,,,
52,Magcargo,Rare,Reverse Holo,,,,,,,,,,
53,Mightyena,Rare,Regular,,,,,,,,,,
53,Mightyena,Rare,Reverse Holo,,,,,,,,,,
54,Nosepass,Rare,Regular,,,,,,,,,,
54,Nosepass,Rare,Reverse Holo,,,,,,,,,,
55,Raichu,Rare,Regular,,,,,,,,,,
55,Raichu,Rare,Reverse Holo,,,,,,,,,,
56,Salamence,Rare,Regular,,,,,,,,,,
56,Salamence,Rare,Reverse Holo,,,,,,,,,,
57,Sharpedo,Rare,Regular,,,,,,,,,,
57,Sharpedo,Rare,Reverse Holo,,,,,,,,,,
58,Solrock,Rare,Regular,,,,,,,,,,
58,Solrock,Rare,Reverse Holo,,,,,,,,,,
59,Starmie,Rare,Regular,,,,,,,,,,
59,Starmie,Rare,Reverse Holo,,,,,,,,,,
60,Swampert,Rare,Regular,,,,,,,,,,
60,Swampert,Rare,Reverse Holo,,,,,,,,,,
61,Vileplume,Rare,Regular,,,,,,,,,,
61,Vileplume,Rare,Reverse Holo,,,,,,,,,,
62,Altaria,Holo Rare,Holo,,,,,,,,,,
62,Altaria,Holo Rare,Reverse Holo,,,,,,,,,,
63,Beautifly,Holo Rare,Holo,,,,,,,,,,
63,Beautifly,Holo Rare,Reverse Holo,,,,,,,,,,
64,Crobat,Holo Rare,Holo,,,,,,,,,,
64,Crobat,Holo Rare,Reverse Holo,,,,,,,,,,
65,Dusclops,Holo Rare,Holo,,,,,,,,,,
65,Dusclops,Holo Rare,Reverse Holo,,,,,,,,,,
66,Gardevoir,Holo Rare,Holo,,,,,,,,,,
66,Gardevoir,Holo Rare,Reverse Holo,,,,,,,,,,
67,Gyarados,Holo Rare,Holo,,,,,,,,,,
67,Gyarados,Holo Rare,Reverse Holo,,,,,,,,,,
68,Ludicolo,Holo Rare,Holo,,,,,,,,,,
68,Ludicolo,Holo Rare,Reverse Holo,,,,,,,,,,
69,Metagross,Holo Rare,Holo,,,,,,,,,,
69,Metagross,Holo Rare,Reverse Holo,,,,,,,,,,
70,Salamence,Holo Rare,Holo,,,,,,,,,,
70,Salamence,Holo Rare,Reverse Holo,,,,,,,,,,
71,Crobat ex,Rare Holo EX,Holo,,,,,,,,,,
72,Deoxys ex (Normal),Rare Holo EX,Holo,,,,,,,,,,
73,Deoxys ex (Attack),Rare Holo EX,Holo,,,,,,,,,,
74,Deoxys ex (Defense),Rare Holo EX,Holo,,,,,,,,,,
75,Deoxys ex (Speed),Rare Holo EX,Holo,,,,,,,,,,
76,Hariyama ex,Rare Holo EX,Holo,,,,,,,,,,
77,Manectric ex,Rare Holo EX,Holo,,,,,,,,,,
78,Rayquaza ex,Rare Holo EX,Holo,,,,,,,,,,
79,Salamence ex,Rare Holo EX,Holo,,,,,,,,,,
80,Sharpedo ex,Rare Holo EX,Holo,,,,,,,,,,
81,Crystal Shard,Uncommon,Regular,,,,,,,,,,
81,Crystal Shard,Uncommon,Reverse Holo,,,,,,,,,,
82,Meteor Falls,Uncommon,Regular,,,,,,,,,,
82,Meteor Falls,Uncommon,Reverse Holo,,,,,,,,,,
83,Professor Birch,Uncommon,Regular,,,,,,,,,,
83,Professor Birch,Uncommon,Reverse Holo,,,,,,,,,,
84,Professor Cozmo's Discovery,Uncommon,Regular,,,,,,,,,,
84,Professor Cozmo's Discovery,Uncommon,Reverse Holo,,,,,,,,,,
85,Rare Candy,Uncommon,Regular,,,,,,,,,,
85,Rare Candy,Uncommon,Reverse Holo,,,,,,,,,,
86,Space Center,Uncommon,Regular,,,,,,,,,,
86,Space Center,Uncommon,Reverse Holo,,,,,,,,,,
87,Strength Charm,Uncommon,Regular,,,,,,,,,,
87,Strength Charm,Uncommon,Reverse Holo,,,,,,,,,,
88,Boost Energy,Uncommon,Regular,,,,,,,,,,
88,Boost Energy,Uncommon,Reverse Holo,,,,,,,,,,
89,Double Rainbow Energy,Rare,Regular,,,,,,,,,,
89,Double Rainbow Energy,Rare,Reverse Holo,,,,,,,,,,
90,Scramble Energy,Uncommon,Regular,,,,,,,,,,
90,Scramble Energy,Uncommon,Reverse Holo,,,,,,,,,,
91,Cacnea,Common,Regular,,,,,,,,,,
91,Cacnea,Common,Reverse Holo,,,,,,,,,,
92,Duskull,Common,Regular,,,,,,,,,,
92,Duskull,Common,Reverse Holo,,,,,,,,,,
93,Magikarp,Common,Regular,,,,,,,,,,
93,Magikarp,Common,Reverse Holo,,,,,,,,,,
94,Nincada,Common,Regular,,,,,,,,,,
94,Nincada,Common,Reverse Holo,,,,,,,,,,
95,Oddish,Common,Regular,,,,,,,,,,
95,Oddish,Common,Reverse Holo,,,,,,,,,,
96,Psyduck,Common,Regular,,,,,,,,,,
96,Psyduck,Common,Reverse Holo,,,,,,,,,,
97,Seedot,Common,Regular,,,,,,,,,,
97,Seedot,Common,Reverse Holo,,,,,,,,,,
98,Staryu,Common,Regular,,,,,,,,,,
98,Staryu,Common,Reverse Holo,,,,,,,,,,
99,Swablu,Common,Regular,,,,,,,,,,
99,Swablu,Common,Reverse Holo,,,,,,,,,,
100,Torchic,Common,Regular,,,,,,,,,,
100,Torchic,Common,Reverse Holo,,,,,,,,,,
101,Bagon,Common,Regular,,,,,,,,,,
101,Bagon,Common,Reverse Holo,,,,,,,,,,
102,Beldum,Common,Regular,,,,,,,,,,
102,Beldum,Common,Reverse Holo,,,,,,,,,,
103,Metang,Uncommon,Regular,,,,,,,,,,
103,Metang,Uncommon,Reverse Holo,,,,,,,,,,
104,Shelgon,Uncommon,Regular,,,,,,,,,,
104,Shelgon,Uncommon,Reverse Holo,,,,,,,,,,
105,Wurmple,Common,Regular,,,,,,,,,,
105,Wurmple,Common,Reverse Holo,,,,,,,,,,
106,Nuzleaf,Uncommon,Regular,,,,,,,,,,
106,Nuzleaf,Uncommon,Reverse Holo,,,,,,,,,,
107,Dusclops,Uncommon,Regular,,,,,,,,,,
107,Dusclops,Uncommon,Reverse Holo,,,,,,,,,,
108,Latias Gold Star,Secret Rare,Regular,,,,,,,,,,
109,Latios Gold Star,Secret Rare,Regular,,,,,,,,,,
110,Rayquaza Gold Star,Secret Rare,Regular,,,,,,,,,,
111,Rocket's Raikou ex,Secret Rare,Regular,,,,,,,,,,
